Text,Country,City,Pollution,Value,Date
US Diplomatic Post: Guatemala City,Guatemala,Guatemala City,35.0,µg/m³,2020-04-24 07:00:00
HU0057A,Hungary,Csongrád,30.03247,µg/m³,2020-04-24 11:00:00
GR0001A,Greece,ΘΕΣΣΑΛΙΑ,16.0,µg/m³,2020-04-24 10:00:00
Grundartangi Gröf,Iceland,Grundartangi,1.4772,µg/m³,2020-04-24 11:00:00
Grundartangi Kríuvarða,Iceland,Grundartangi,7.096660000000001,µg/m³,2020-04-24 10:00:00
PCC suður,Iceland,Húsavík,0.136719,µg/m³,2020-04-24 09:00:00
Hafnarfjörður Hvaleyrarholt,Iceland,Hafnarfjörður,2.2786,µg/m³,2020-04-24 11:00:00
Reykjavik Husdyragardurinn,Iceland,Reykjavík,5.12984,µg/m³,2020-04-24 11:00:00
Kópavogur Dalsmári,Iceland,Kópavogur,3.3113300000000003,µg/m³,2020-04-24 11:00:00
US Diplomatic Post: Baghdad,Iraq,Baghdad,15.0,µg/m³,2020-04-24 05:00:00
US Diplomatic Post: Jakarta South,Indonesia,Jakarta,36.0,µg/m³,2020-04-24 11:00:00
US Diplomatic Post: Jakarta Central,Indonesia,Jakarta,11.0,µg/m³,2020-04-24 09:00:00
US Diplomatic Post: Jakarta Central,Indonesia,Jakarta,11.0,µg/m³,2020-04-24 09:00:00
IE0110A,Ireland,Cork City,23.8475,µg/m³,2020-04-24 10:00:00
IE0028A,Ireland,Dublin City,17.266363000000002,µg/m³,2020-04-24 10:00:00
IE003AP,Ireland,Dublin City,19.91,µg/m³,2020-04-24 10:00:00
GIARDINI MARGHERITA,Italy,BOLOGNA,10.0,µg/m³,2020-04-22 23:00:00
BESENZONE,Italy,BESENZONE,25.0,µg/m³,2020-04-23 23:00:00
PORTA SAN FELICE,Italy,BOLOGNA,17.0,µg/m³,2020-04-23 23:00:00
BALLIRANA,Italy,ALFONSINE,21.0,µg/m³,2020-04-23 23:00:00
CASTELLARANO,Italy,CASTELLARANO,15.0,µg/m³,2020-04-23 23:00:00
Campo dell'Oro,Italy,Civitavecchia,9.0,µg/m³,2020-03-30 22:00:00
Allumiere - v.Aldo Moro,Italy,Civitavecchia,13.0,µg/m³,2020-03-30 22:00:00
Fiumaretta,Italy,Civitavecchia,9.0,µg/m³,2020-03-30 22:00:00
VILLA FULVIA,Italy,FERRARA,16.0,µg/m³,2020-04-23 23:00:00
SARAGAT,Italy,COLORNO,18.0,µg/m³,2020-04-23 23:00:00
PARCO BERTOZZI,Italy,FAENZA,16.0,µg/m³,2020-04-23 23:00:00
PARCO RESISTENZA,Italy,FORLI',16.0,µg/m³,2020-04-23 23:00:00
Ferentino,Italy,Frosinone,17.0,µg/m³,2020-04-03 22:00:00
Almaty,Kazakhstan,N/A,7.0,µg/m³,2020-04-24 10:00:00
US Diplomatic Post: Amman,Jordan,Amman,15.0,µg/m³,2020-04-24 09:00:00
Cassino,Italy,Frosinone,15.0,µg/m³,2020-04-03 22:00:00
US Diplomatic Post: Amman,Jordan,Amman,15.0,µg/m³,2020-04-24 09:00:00
Drenas,Kosovo,Drenas,9.274,µg/m³,2020-04-24 11:00:00
Gjilan,Kosovo,Gjilan,14.119000000000002,µg/m³,2020-04-24 11:00:00
Hani i Elezit,Kosovo,Hani i Elezit,13.372,µg/m³,2020-04-22 17:00:00
US Diplomatic Post: Kuwait City,Kuwait,Kuwait City,45.0,µg/m³,2020-04-24 09:00:00
Mitrovice,Kosovo,Mitrovice,11.402999999999999,µg/m³,2020-04-24 11:00:00
Peje,Kosovo,Peje,13.065,µg/m³,2020-04-24 11:00:00
Prishtine - IHMK,Kosovo,Prishtine,13.82,µg/m³,2020-04-24 11:00:00
Prizren,Kosovo,Prizren,10.703,µg/m³,2020-04-24 11:00:00
US Diplomatic Post: Bishkek,Kyrgyzstan,Bishkek,3.0,µg/m³,2020-04-23 20:00:00
Vientiane,Lao People's Democratic Republic,N/A,10.0,µg/m³,2020-04-24 10:00:00
US Diplomatic Post: Bishkek,Kyrgyzstan,Bishkek,3.0,µg/m³,2020-04-23 20:00:00
US Diplomatic Post: Pristina,Kosovo,Pristina,19.0,µg/m³,2020-04-24 06:00:00
LT00044,Lithuania,Kaunas,20.0,µg/m³,2020-04-22 23:00:00
LT00041,Lithuania,Kaunas,5.07,µg/m³,2020-04-23 23:00:00
LT00033,Lithuania,Klaipeda,6.77,µg/m³,2020-04-24 02:00:00
LT00051,Lithuania,Utena,7.34,µg/m³,2020-04-24 02:00:00
LU0101A,Luxembourg,Luxemburg,19.0,µg/m³,2020-04-24 10:00:00
LT00003,Lithuania,Vilnius,6.87,µg/m³,2020-04-23 23:00:00
LU0109A,Luxembourg,Luxemburg,18.0,µg/m³,2020-04-24 10:00:00
LT00021,Lithuania,Šiauliai,6.83,µg/m³,2020-04-24 00:00:00
LU0102A,Luxembourg,Luxemburg,44.0,µg/m³,2020-04-24 10:00:00
LU0105A,Luxembourg,Grevenmacher,20.0,µg/m³,2020-04-24 10:00:00
MT00008,Malta,Attard,10.7,µg/m³,2020-04-24 08:00:00
MT00005,Malta,Msida,9.91,µg/m³,2020-04-24 08:00:00
US Diplomatic Post: Bamako,Mali,Bamako,39.0,µg/m³,2020-04-24 10:00:00
Ulaanbaatar,Madagascar,N/A,31.0,µg/m³,2020-04-24 10:00:00
SPABC14 COBACH,Mexico,BAJA CALIFORNIA NORTE,18.0,µg/m³,2020-04-24 10:00:00
Camarones,Mexico,DISTRITO FEDERAL,37.0,µg/m³,2020-04-24 10:00:00
Merced,Mexico,DISTRITO FEDERAL,47.0,µg/m³,2020-04-24 10:00:00
Santa Fe,Mexico,DISTRITO FEDERAL,22.0,µg/m³,2020-04-24 10:00:00
Pedregal,Mexico,DISTRITO FEDERAL,25.0,µg/m³,2020-04-24 10:00:00
UAM Xochimilco,Mexico,DISTRITO FEDERAL,22.0,µg/m³,2020-04-24 10:00:00
Estación Abasolo,Mexico,GUANAJUATO,8.1,µg/m³,2020-04-24 10:00:00
UAM Iztapalapa,Mexico,DISTRITO FEDERAL,35.0,µg/m³,2020-04-24 10:00:00
Estación Facultad de,Mexico,GUANAJUATO,100.6,µg/m³,2020-03-21 17:00:00
Estación DIF,Mexico,GUANAJUATO,18.5,µg/m³,2020-04-24 10:00:00
Estación Bomberos,Mexico,GUANAJUATO,48.5,µg/m³,2020-04-24 10:00:00
Estación Guanajuato,Mexico,GUANAJUATO,14.9,µg/m³,2020-04-24 10:00:00
US Diplomatic Post: Embassy Kathmandu,Nepal,Kathmandu,24.0,µg/m³,2020-04-24 00:15:00
US Diplomatic Post: Rangoon,Myanmar,Rangoon,17.0,µg/m³,2020-04-24 04:30:00
Phora Durbar Kathman,Nepal,N/A,18.0,µg/m³,2020-04-24 10:15:00
US Diplomatic Post: Ulaanbaatar,Mongolia,Ulaanbaatar,107.0,µg/m³,2020-04-23 15:00:00
Amsterdam-Einsteinweg,Netherlands,Amsterdam,1.9,µg/m³,2020-04-24 10:00:00
Amsterdam-Hoogtij,Netherlands,Amsterdam,3.4,µg/m³,2020-04-24 10:00:00
Amsterdam-Van Diemenstraat,Netherlands,Amsterdam,6.4,µg/m³,2020-04-24 10:00:00
Amsterdam-Stadhouderskade,Netherlands,Amsterdam,5.8,µg/m³,2020-04-24 10:00:00
Amsterdam-Westerpark,Netherlands,Amsterdam,5.5,µg/m³,2020-04-24 10:00:00
Amsterdam-Spaarnwoude,Netherlands,Amsterdam,6.8,µg/m³,2020-04-24 10:00:00
Amsterdam-Vondelpark,Netherlands,Amsterdam,4.8,µg/m³,2020-04-24 10:00:00
Badhoevedorp-Sloterweg,Netherlands,Badhoevedorp,6.7,µg/m³,2020-04-24 10:00:00
Biest Houtakker-Biestsestraat,Netherlands,Biest Houtakker,11.4244,µg/m³,2020-04-24 10:00:00
Beverwijk West-Creutzberglaan,Netherlands,Beverwijk West,12.1,µg/m³,2020-04-24 10:00:00
Breda-Tilburgseweg,Netherlands,Breda,12.6984,µg/m³,2020-04-24 10:00:00
Breda-Bastenakenstraat,Netherlands,Breda,10.1994,µg/m³,2020-04-24 10:00:00
Cabauw-Wielsekade,Netherlands,Cabauw,9.6114,µg/m³,2020-04-24 10:00:00
Bekkestua,Norway,Bærum,6.0,µg/m³,2020-04-24 10:00:00
