text,pollution,date
"Patti Mehar, Ambala - HSPCB, ,in ,Ambala ,, ,India",48.75,2019/07/11 11:00
"Golden Temple, Amritsar - PPCB, ,in ,Amritsar,, ,India",0,2019/07/11 11:00
"More Chowk Waluj, Aurangabad - MPCB, ,in ,Aurangabad,, ,India",17.33,2020/04/24 11:00
"Vidayagiri, Bagalkot - KSPCB, ,in ,Bagalkot,, ,India",19,2020/04/24 08:45
"GIDC, Ankleshwar - GPCB, ,in ,Ankleshwar,, ,India",36.75,2019/07/11 11:00
"New Collectorate, Baghpat - UPPCB, ,in ,Baghpat,, ,India",51,2019/07/11 11:15
"Asansol Court Area, Asansol - WBPCB, ,in ,Asansol,, ,India",23.96,2020/04/24 10:15
"Arya Nagar, Bahadurgarh - HSPCB, ,in ,Bahadurgarh ,, ,India",50.6,2020/04/24 07:45
"Nathu Colony, Ballabgarh - HSPCB, ,in ,Ballabgarh,, ,India",126.56,2019/07/11 11:00
"US Diplomatic Post: Baghdad, ,in ,Baghdad,, ,Iraq",15,2020/04/24 05:00
"US Diplomatic Post: Jakarta South, ,in ,Jakarta,, ,Indonesia",36,2020/04/24 11:00
"US Diplomatic Post: Jakarta Central, ,in ,Jakarta,, ,Indonesia",11,2020/04/24 09:00
"US Diplomatic Post: Jakarta Central, ,in ,Jakarta,, ,Indonesia",11,2020/04/24 09:00
"SPARTAN - ITB Bandung, ,in ,Bandung,, ,Indonesia",8.8,2015/09/13 01:00
"SPARTAN - Weizmann Institute, ,in ,Rehovot,, ,Israel",23.4,2015/10/17 05:00
"IE0110A, ,in ,Cork City,, ,Ireland",23.8475,2020/04/24 10:00
"IE0028A, ,in ,Dublin City,, ,Ireland",17.266363,2020/04/24 10:00
"IE0142A, ,in ,Longford,, ,Ireland",6.7,2018/06/03 00:00
"IE0137A, ,in ,Limerick,, ,Ireland",28.1,2018/03/03 00:00
"IE003AP, ,in ,Dublin City,, ,Ireland",19.91,2020/04/24 10:00
"GIARDINI MARGHERITA, ,in ,BOLOGNA,, ,Italy",10,2020/04/22 23:00
"BESENZONE, ,in ,BESENZONE,, ,Italy",25,2020/04/23 23:00
"PORTA SAN FELICE, ,in ,BOLOGNA,, ,Italy",17,2020/04/23 23:00
"BALLIRANA, ,in ,ALFONSINE,, ,Italy",21,2020/04/23 23:00
"CASTELLARANO, ,in ,CASTELLARANO,, ,Italy",15,2020/04/23 23:00
"Campo dell'Oro, ,in ,Civitavecchia,, ,Italy",9,2020/03/30 22:00
"Allumiere - v.Aldo Moro, ,in ,Civitavecchia,, ,Italy",13,2020/03/30 22:00
"Fiumaretta, ,in ,Civitavecchia,, ,Italy",9,2020/03/30 22:00
"VILLA FULVIA, ,in ,FERRARA,, ,Italy",16,2020/04/23 23:00
"SARAGAT, ,in ,COLORNO,, ,Italy",18,2020/04/23 23:00
"PARCO BERTOZZI, ,in ,FAENZA,, ,Italy",16,2020/04/23 23:00
"ES0126A, ,in ,Madrid,, ,Spain",N/A,N/A
"PARCO RESISTENZA, ,in ,FORLI',, ,Italy",16,2020/04/23 23:00
"Ferentino, ,in ,Frosinone,, ,Italy",17,2020/04/03 22:00
"Almaty, ,in ,N/A,, ,Kazakhstan",7,2020/04/24 10:00
"US Diplomatic Post: Astana, ,in ,Astana,, ,Kazakhstan",6,2019/11/13 14:00
"US Diplomatic Post: Amman, ,in ,Amman,, ,Jordan",15,2020/04/24 09:00
"Cassino, ,in ,Frosinone,, ,Italy",15,2020/04/03 22:00
"Alliance Girls High, ,in ,Nairobi,, ,Kenya",5.3,2018/11/20 23:00
"US Diplomatic Post: Amman, ,in ,Amman,, ,Jordan",15,2020/04/24 09:00
"Nairobi CBD, ,in ,Nairobi,, ,Kenya",0,2018/09/13 21:00
"Drenas, ,in ,Drenas,, ,Kosovo",9.274,2020/04/24 11:00
"Gjilan, ,in ,Gjilan,, ,Kosovo",14.119,2020/04/24 11:00
"Hani i Elezit, ,in ,Hani i Elezit,, ,Kosovo",13.372,2020/04/22 17:00
"US Diplomatic Post: Kuwait City, ,in ,Kuwait City,, ,Kuwait",45,2020/04/24 09:00
"Mitrovice, ,in ,Mitrovice,, ,Kosovo",11.403,2020/04/24 11:00
"Peje, ,in ,Peje,, ,Kosovo",13.065,2020/04/24 11:00
"Prishtine - IHMK, ,in ,Prishtine,, ,Kosovo",13.82,2020/04/24 11:00
"Prishtine, Rilindje, ,in ,Prishtine,, ,Kosovo",11.932,2020/04/24 11:00
"Prizren, ,in ,Prizren,, ,Kosovo",10.703,2020/04/24 11:00
"US Diplomatic Post: Bishkek, ,in ,Bishkek,, ,Kyrgyzstan",3,2020/04/23 20:00
"Vientiane, ,in ,N/A,, ,Lao People's Democratic Republic",10,2020/04/24 10:00
"US Diplomatic Post: Bishkek, ,in ,Bishkek,, ,Kyrgyzstan",3,2020/04/23 20:00
"US Diplomatic Post: Pristina, ,in ,Pristina,, ,Kosovo",19,2020/04/24 06:00
"LT00044, ,in ,Kaunas,, ,Lithuania",20,2020/04/22 23:00
"LT00041, ,in ,Kaunas,, ,Lithuania",5.07,2020/04/23 23:00
"LT00033, ,in ,Klaipeda,, ,Lithuania",6.77,2020/04/24 02:00
"LT00051, ,in ,Utena,, ,Lithuania",7.34,2020/04/24 02:00
"LU0101A, ,in ,Luxemburg,, ,Luxembourg",19,2020/04/24 10:00
"LT00003, ,in ,Vilnius,, ,Lithuania",6.87,2020/04/23 23:00
"LU0109A, ,in ,Luxemburg,, ,Luxembourg",18,2020/04/24 10:00
"LT00021, ,in ,Šiauliai,, ,Lithuania",6.83,2020/04/24 00:00
"LU0102A, ,in ,Luxemburg,, ,Luxembourg",44,2020/04/24 10:00
"LU0105A, ,in ,Grevenmacher,, ,Luxembourg",20,2020/04/24 10:00
